Issue key,Issue id,Summary,Assignee,Assignee Id,Description
TCON-66,54146,PSS/ROCS - PSS application UI,Srishti Tyagi,712020:9103260f-fe27-47fb-bff0-32c99670efcc,"*As a* Member Service Advisor or Underwriting user

*I want* to be able to add Premium Support Scheme application details

*So* that I can proceed with the application process 



+*_PSS/ROCS Page Details_*+

*Products* - Medical

*Transactions* - New Business, Renew, Endorse, Re-issue, Rewrite, Reinstate



+PSS Field Specifications+

Refer to PSS & ROCS tab of [https://nationalmda.sharepoint.com/:x:/r/sites/ProjectConnect/_layouts/15/Doc.aspx?sourcedoc=%7B21DABA1B-350D-4CC2-8DD4-FDBDEF1D8219%7D&file=Medical%20UI%20Pages%20and%20Fields%20BRD.xlsx&action=default&mobileredirect=true|https://nationalmda.sharepoint.com/:x:/r/sites/ProjectConnect/_layouts/15/Doc.aspx?sourcedoc=%7B21DABA1B-350D-4CC2-8DD4-FDBDEF1D8219%7D&file=Medical%20UI%20Pages%20and%20Fields%20BRD.xlsx&action=default&mobileredirect=true|smart-link] 

NB: Design/layout - to have PSS and ROCS under the one umbrella tab but within that, have PSS as a tab and ROCS as a tab (ROCS user story under [https://mdanational.atlassian.net/browse/TCON-96|https://mdanational.atlassian.net/browse/TCON-96|smart-link] 

{color:#ff991f} {color}

+Messages/prompts+

* please complete all mandatory information 



+Business Rules+

* as per BRD



+*_Acceptance Criteria_*+

+_Scenario 1:_+

*Given* I go to the page “PSS/ROCS.”

*And* then the sub-section of PSS

*When* I enter data for all mandatory fields for PSS

*And* I click on the next button.

*Then* I should be able to continue



+_Scenario 2:_+

*Given* I go to the page “PSS/ROCS.”

*And* then the sub-section of PSS

*When* I do not enter data for all mandatory fields for PSS

*And* I click on the next button.

*Then* I should be prompted to complete the mandatory fields



+_Scenario 3:_+

*Given* I go to the page “PSS/ROCS.”

*And* then the sub-section of PSS

*Then* I should be able to select the relevant subsidy type

*And* the status of the PSS application

*And* enter the Medicare Provider number



+_Scenario 4_+

*Given* I go to the page “PSS/ROCS”

*And* then the sub-section of PSS

*Then* I should be able to view the Income based on Estimate 

*So* that I can ensure it is the total of GAB $ (Specialty and Practice Details page) and ToPP GAB (Coverage page)



+_Scenario 5_+

*Given* I go to the page “PSS/ROCS”

*And* then the sub-section of PSS

*Then* I should be able to enter a date for ‘Statutory Declaration received date*’*

*And* then be prompted to complete ‘Income based on Actuals’ as a mandatory field 



+_Scenario 6_+

*Given* I go to the page “PSS/ROCS”

*And* then the sub-section of PSS

*Then* I should be able to select a reason for ‘Other MDO ERB Desc’

*And/or* enter an 'Other MDANI Amount

*And/or* enter a Withdrawal Date

*And/or* enter a Yearly Amount or Quarterly amount

*And/or* add Notes 

*And/or* have all of the above as non-mandatory fields. 



+_Scenario 7_+

*Given* I go to the page “PSS/ROCS”

*And* then the sub-section of PSS

*Then* I should be able to select where an applicant for PSS will be overseas more than 6 months in the Policy period

*And* where this is checked, they should become ineligible for a subsidy



+_Scenario 8_+

*Given* I go to the page “PSS/ROCS”

*And* then the sub-section of PSS

*Then* I should be able to select if an applicant for PSS has a prior unpaid PSS debt

*And* be prompted to complete the PSS Debt $ field



+_Scenario 9_+

*Given* I go to the page “PSS/ROCS.”

*And* then the sub-section of PSS

*And* enter YES for Rural

*Then* I should be prompted to complete the Rural Address Details

*And* the Corresponding Premium - Yearly figure should be populated



+_Scenario 10:_+

*Given* I go to the page “PSS/ROCS.”

*And* then the sub-section of PSS

*And* enter YES for Non Therapeutic Cosmetics

*Then* I should be prompted to enter the percentage private income from non therapeutic cosmetics





+_Scenario 11:_+

*Given* I go to the page “PSS/ROCS.”

*And* then the sub-section of PSS

*And* enter a Status of ‘Suspended’

*Then* I should be prompted to complete the ‘PSS Suspension Reason’"
TCON-322,55607,UW/Claims UI page,Rachel Thomas,5c77b20414346e2ff1dfe053,"*As an* MDANI user 

*I want* to be able to enter details of an Applicants prior insurance history

*And* details of any prior MDO claims history

*Then* also view any notifications made to MDANI during any prior period of Membership

*And* add details around the application approval process 
*And* add a referral to individuals on the  Clinical Underwriting Committee where required

*Then* have a view of the comments providing and overall voting by the clinicians

*Then* update the status of the application and applicable reason 



*As a* Member of the Clinical Underwriting Committee

*I want* to be notified of applications that require my review

*So that* I can review the application and associated documents

*And* cast my vote and provide comments regarding an application

*And* have a view of all other votes and comments made by other users



+*_UW/Claims Page Details_*+

*Products:* Medical 

*Transactions:* New Business, Renew, Endorse, Rewrite, Reissue, Reinstate 



+Field Specifications+

Refer to UW/Claims tab of [https://nationalmda.sharepoint.com/:x:/r/sites/ProjectConnect/_layouts/15/Doc.aspx?sourcedoc=%7B21DABA1B-350D-4CC2-8DD4-FDBDEF1D8219%7D&file=UI%20Pages%20BRD.xlsx&action=default&mobileredirect=true&DefaultItemOpen=1&ct=1707637191350&wdOrigin=OFFICECOM-WEB.MAIN.OTHER&cid=3a32c40f-cd0d-4fcc-996c-d9315dfca61a&wdPreviousSessionSrc=HarmonyWeb&wdPreviousSession=a708e50f-995b-4b57-930b-3235d1de4834|https://nationalmda.sharepoint.com/:x:/r/sites/ProjectConnect/_layouts/15/Doc.aspx?sourcedoc=%7B21DABA1B-350D-4CC2-8DD4-FDBDEF1D8219%7D&file=UI%20Pages%20BRD.xlsx&action=default&mobileredirect=true&DefaultItemOpen=1&ct=1707637191350&wdOrigin=OFFICECOM-WEB.MAIN.OTHER&cid=3a32c40f-cd0d-4fcc-996c-d9315dfca61a&wdPreviousSessionSrc=HarmonyWeb&wdPreviousSession=a708e50f-995b-4b57-930b-3235d1de4834|smart-link] 





*Messages/prompts*

* Please ensure all mandatory information is provided



*Business Rules*

* as per BRD



+*_Acceptance Criteria_*+

NB: in the below A/C the following user roles apply

Underwriting user = role of UW, UW Manager and Level Administrator 

Member of the Clinical Underwriting Committee = role of UW, UW Manager and Level Administrator and External (CUWC)



+_Scenario 1_+

*Given* I go to the UW/Claims page

*Then* the Claims section

*I want* to be able to view any prior MDANI Claims History data

*And* see clearly which matters contribute to a Case Rating Factor

*And* should not have the ability to edit any of the claims information 



+_Scenario 2_+

*Given* I go to the UW/Claims page

*Then* the Claims section

*And* enter all mandatory information relating to an applicants prior MDO Indemnity History 

*Then* I can save the data 



+_Scenario 3_+

*Given* I go to the UW/Claims page

*Then* the Claims section

*I want* to be able to enter mandatory details of an applicants prior MDO claims history manually 

*And* see clearly which matters contribute to a Case Rating Factor

{color:#ff991f}*(Or* {color}{color:#ff991f}in the future potentially have the opportunity to review any prior MDO claims history that has integrated via PDF reader){color}

{color:#ff991f} {color}

+_Scenario 4_+

*Given* I go to the UW/Claims page

*Then* the Claims section

*I want* to be able to have a consolidated view of matters that contribute to a Case Rating Factor, from both MDA Case History and Other MDO case history

*And* have a clear view of the date from which claims are being assessed, total number of claims, number of claims below SoC, years since last claim, years since second last claim, number of investigations and investigation score



+_Scenario 5_+

*Given* I go to the UW/Claims page

*Then* the UW section

*I want* to be able to view or enter details relating to the date of application 





+_Scenario 6_+

*Given* I go to the UW/Claims page

*Then* the UW section

*I want* to be able to enter the outcome of an application

*And* have the selection of outcome date and time stamped 

*And* also record the reason for the outcome

*So* that date, time and reason can be reported on 





+_Scenario 7_+

*Given* am an Underwriting user

*And* I go to the page ‘UW/Claims’

*And* then section ‘Underwriting’

*And* select Add Referral

*Then* the names of the Clinical Underwriting Committee Members should be pre-selected

*And* I should have the ability to de-select/untick individuals for which I do not want to receive the referral

 

+_Scenario 8_+

*Given* am an Underwriting user

*And* I go to the page ‘UW/Claims’

*And* then section ‘Underwriting’

*And* select Add Referral

*Then* I should be able to download a copy of the Application showing all integrated application fields in PDF format

*And* attach this along with any other relevant documentation to the Policy

 

+_Scenario 9_+

*Given* I am an Underwriting user

*And* I go to the page ‘ UW/Claims’

*And* then section ‘Underwriting’

*I want* to be able to view any current application referral

*And* select an individual(s) of the Clinical Underwriting Committee Member who was initially de-selected/unticked at the time of initial referral

*Then* be able to opt for the referral go only to that newly selected individual(s) individual

*And* not be re-sent to all selected Members of the Committee



+_Scenario 10_+

*Given* I am an Underwriting user

*And* I go to the page ‘UW/Claims’

*And* then section ‘Underwriting’

*I want* to be able to view any current application referral

*And* be able to send a note via the referral to a specific individual via without having this saved in the comments field, with the email ID linked to the user role for the Member of the Clinical Underwriting Committee I want this sent to. 





+_Scenario 11_+

*Given* I am an Underwriting user

*And* I go to the page ‘ UW/Claims’

*And* then section ‘Underwriting’

*When* I enter all mandatory fields for Application Referral

*And* have selected at least one user to refer to

*Then* select ‘Refer’

*Then* I should receive a DC Policy notification that the selected Members of the Clinical Underwriting Committee have been sent the referral to review

*And* the notification should be archived after 60 days

 

+_Scenario 12_+

*Given* I am an Underwriting user

*And* I go to the page ‘UW/Claims’

*And* section ‘Underwriting’

*Then* within the referral

*I want* to be able to view which Members of the Committee have voted and any comments they have made

*And* I want to be able to add my own comments or reply to a specific comment made





+_Scenario 13_+

*Given* I am an Underwriting user or other Member of the Clinical Underwriting Committee

*And* I go to the page ‘UW/Claims’

*And* section ‘Underwriting’

*Then* within the referral

*I want* to have read only view of other individuals comments and voting

*And* view the Total Vote count



+_Scenario 14_+

*Given* I am a Member of the Clinical Underwriting Committee

*And* have received referral notification of an application to review

*I want* to be be navigated to the Policy without having to search for the applicant reference number  

 

+_Scenario 15_+

*Given* I am a Member of the Clinical Underwriting Committee

*And* have received referral notification of an application to review

*I want* to be able to review a copy of the full application in PDF format and any associated documents that are attached to the Policy, without having to navigate to another platform

 

+_Scenario 16_+

*Given* I am a Member of the Clinical Underwriting Committee 

*And* have received notification of an application to review

*I want* to be able to add my comments

*And* have the comment date and time stamped

 

+_Scenario 17_+

*Given* I am a Member of the Clinical Underwriting Committee

*And* have received notification of an application to review

*I want* to be able to record my vote against the referral at any time

*And* have the vote date and time stamped

 

+_Scenario 18_+

*Given* I am a Member of the Clinical Underwriting Committee

*And* have received notification of an application to review

*I want* to be able to edit the vote recorded against the referral at any time

*And* have the vote date and time stamp updated accordingly

*And* be prompted to add a comment to explain why I have changed my vote

 

+_Scenario 19_+

*Given* I am an Underwriting user or  Member of the Clinical Underwriting Committee

*I want* to be able to view the outcome of the referral status

*So that* I can see if the referral is still pending, or whether the application has been Approved, Rejected or Withdrawn



+_Scenario 20_+

*Given* I am a Member of the Clinical Underwriting Committee

*And* have received notification of an application to review

*Or* I am an Underwriter

*I want* to have access to able to view comments and vote of other Clinicians

*And* be able to reply to a particular comment

*And* have this option until 3 days after the application UW Outcome has been determined

 

+_Scenario 21_+

*Given* I am a Member of the Clinical Underwriting Committee

*And* have received notification of an application to review

*And* have not provided my vote within 2 business days

*Where* there is no comment provided by me against the referral

*I want* to receive an automated follow up to remind me to review the application

 

+_Scenario 22_+

*Given* I am a Member of the Clinical Underwriting Committee

*I want* to be able to have a task view of applications pending review

*So* that I can easily view ‘All open applications’, ‘All closed applications’, ‘Applications still needing my vote’, ‘My open applications’ and ‘My closed applications’ and ‘Apps pending further information’

*And* have the task view tailored to my role as either MDA staff or non-MDA staff/External role





+_Scenario 23_+

*As an* IT administrator/System Admin user

*When* there are changes to the Clinical Underwriting Committee

*I want* to be able to edit the list of Members of the Clinical Underwriting Committee that are available for selection within the application referral via changes to User Admin 



+_Scenario 24_+

*Given* I am an Underwriting user or  Member of the Clinical Underwriting Committee

*I want* to be able to search all prior applications for key words entered in the comments



+_Scenario 25_+

*As an* Underwriting user or Member of the Clinical Underwriting Committee

*When* I add a comment

*I want* this to be in rich text format so that I can format "
TCON-536,56164,Standard Policy Wording Endorsement -MI,Rachel Thomas,5c77b20414346e2ff1dfe053,"As a Member Services Advisor, Underwriting user or Operations user

I want to be able to add or amend Standard Policy wording to a specific Policy or Renewal

And, where required, have this approved by another user or approve myself

To then continue with Policy processing

*Acceptance Criteria:*

*Scenario 1:*

Given I go to the page Endorsements

When I go to the field Endorsement Type

And select an endorsement type=*_’Clinipath Endorsement WEF 1 July 2023’_* with standard wording

Then the below wording populates in the Notes field

*In the event there is no cover provided by the Public hospital for civil liability claims arising from the treatment of public patients in the public hospital then we will indemnify you for civil liability for a claim against you arising out of your healthcare services to a public patient in a public hospital when employed by Clinipath Pathology and working as part of a Multi-Disciplinary team (MDT).*

And I should be able to edit the wording for this Policy only

*Scenario 2:*

Given I go to the page Endorsements

When I go to the field Endorsement Type

And select an endorsement type= *_Genesis Endorsement WEF 1 July 2023’_* with standard wording

Then the below wording populates in the Notes field

*Clause 26.1 is replaced with the following:*

*26. We will not cover you or make a payment under your Policy when;*

*26.1 and to the extent that you are entitled to indemnity under:*

*a) any other contract of insurance,* 

*b) any indemnity arrangement or scheme ( including but not limited to an indemnity provided by your employer or a discretionary indemnity scheme provided by a professional defence organisation or mutual fund) whether current or not,*

*c) any law,*

*d) any contract, or*

*e) any other arrangement;*

 *that in each case is not a contract of insurance entered into by you or, if it is such a contract, is required to be effected by or under a law in Australia or any State or Territory in Australia.* 

*Treatment of Public Patients in a Public Hospital*

*Pursuant to clause 1, in the event there is no cover provided  by the Public hospital for civil liability claims arising from the treatment of public patients in the public hospital then we will cover you for civil liability for a claim against you arising out of your healthcare services to a public patient in a public hospital when employed by Genesis Care Pty Limited.*

And I should be able to edit the wording for this Policy only

*Scenario 3:*

Given I go to the page Endorsements

When I go to the field Endorsement Type

And select an endorsement type= ‘*_Healius Limited WEF 1 July 2023’_* with standard wording

Then the below wording populates in the Notes field

*Clause 26.1 is replaced with the following:*

*26. We will not cover you or make a payment under your Policy when;*

*26.1 and to the extent that you are entitled to indemnity under:*

*a) any other contract of insurance,* 

*b) any indemnity arrangement or scheme ( including but not limited to an indemnity provided by your employer or a discretionary indemnity scheme provided by a professional defence organisation or mutual fund) whether current or not,*

*c) any law,*

*d) any contract, or*

*e) any other arrangement,*

*that in each case is not a contract of insurance entered into by you or, if it is such a contract, is required to be effected by or under a law in Australia or any State or Territory in Australia.*

*Treatment of Public Patients in a Public Hospital*

*Pursuant to clause 1, in the event there is no cover provided  by the Public hospital for civil liability claims arising from the treatment of public patients in the public hospital then we will cover you for civil liability for a claim against you arising out of your healthcare services to a public patient in a public hospital when employed by  by Healius Limited or a joint venture between Healius Limited or a member of the Healius Limited group of companies and others.*

And I should be able to edit the wording for this Policy only

*Scenario 4:*

Given I go to the page Endorsements

When I go to the field Endorsement Type

And select an endorsement type= ‘*_Med Gap in Indemnity WEF 1 July 2023’_*with standard wording

Then the below wording populates in the Notes field

*Additional Exclusion:*

*The following additional policy exclusion has been included on your Policy:* 

*27. We will not cover you or make a payment under your Policy when;*

*27.5 the matter for which you claim under the Policy arises in any way out of an investigation by a Professional Registration Board into non-compliance with the Professional Indemnity Insurance registration standards between [insert date from] to [insert date to], both days inclusive.*

And I should be able to edit the wording for this Policy only

*Scenario 5:*

Given I go to the page Endorsements

When I go to the field Endorsement Type

And select an endorsement type= ‘*_Obstetric Exclusion for Ireland WEF 1 July 2023’_*with standard wording

Then the below wording populates in the Notes field

*The following clause is added:*

*27. We will not cover you or make a payment under your Policy when;*

*27.5 the matter for which you claim under the Policy arises in any way out of the provision of obstetric care to patients in the Republic of Ireland, including any matter associated with the management of pregnancy, antenatal or intrapartum care.*

And I should be able to edit the wording for this Policy only

*Scenario 6:*

Given I go to the page Endorsements

When I go to the field Endorsement Type

And select an endorsement type= ‘*_Public Patient WEF 1 July 2023 ’_*with standard wording

Then the below wording populates in the Notes field

*Pursuant to clause 1, we will cover you for civil liability for a claim against you arising out of your provision of healthcare services to a public patient in the capacity of [insert hospital position] at [insert hospital(s)] from [insert date]. OR for the period of [insert date]  to [insert date],*

*This endorsement applies subject to renewal if the extension of cover exceeds the current Period of Insurance end date and is subject to review at our discretion.*

And I should be able to edit the wording for this Policy only

*Scenario 7:*

Given I go to the page Endorsements

When I go to the field Endorsement Type

And select an endorsement type= ‘*_Queensland Health VMO Endorsement ’_*with standard wording

Then the below wording populates in the Notes field

*10a. Removal from proceedings*

*We will cover up to $50,000 for removing a practice entity controlled by you from*

*i) any proceedings in relation to a civil liability claim against the entity arising from healthcare services that you have provided in your capacity as a Visiting Medical Officer with Queensland Health and* 

*ii) where your practice entity has been included in the claim but only when*

*a) the claim is first made against the practice entity during the period of insurance; and*

*b) you tell us in writing during the  period of insurance about the claim against the practice entity; and*

*c) the claim against the practice entity arises from an act or omission occurring on or after the retroactive date and not within any non practising period*

*d) the practice entity and you comply with the terms and conditions of your Policy. (In the case of the practice entity as though it were you under the Policy).*

And I should be able to edit the wording for this Policy only

*Scenario 8:*

Given I go to the page Endorsements

When I go to the field Endorsement Type

And select an endorsement type= ‘*_Restricted Cover WEF 1 July 2023’_*with standard wording

Then the below wording populates in the Notes field

*Policy Exclusions*

*The following clauses are removed in their entirety which means that you will not have cover for those matters under the Policy:*

* *Clause 6 - Overseas Cover*

* *Clause 7 - Telehealth*

* *Clause 8 - Clinical trials cover*

* *Clause 9 - Defamation*

* *Clause 10 - Your practice entity*

* *Clause 11 - Breach of Privacy*

* *Clause 12(b) – Defending you against civil liability claims, fines and penalties for matters that are covered under clause 11 of your Policy*

* *Clause 13 - Pursuing Defamation*

* *Clause 16 - Defense against allegations of sexual misconduct and criminal conduct towards patients*

* *Clause 17 - Apprehended Violence Orders*

* *Clause 18 - Employment and credentialling disputes*

* *Clause 19 - Medical College training disputes*

* *Clause 20 – Loss of Income*

* *Clause 21 – Loss of Documents*

* *Clause 22 – Communicable Disease cove*r

*Policy Variations*

*Clause 12 is replaced with:*

*Defending you against civil liability claims, fines and penalties*

*12. Subject to clause 44, we will cover you for legal costs that we incur on your behalf for defending you against civil liability claims against you that are covered under any of clauses 1 to 5 of your Policy.*

And I should be able to edit the wording for this Policy only

*Scenario 9:*

Given I go to the page Endorsements

When I go to the field Endorsement Type

And select an endorsement type= ‘*_Telehealth endorsement for Radiology and Pathology specialties’_* with standard wording

Then the below wording populates in the Notes field

*Teleradiology/Telepathology*

*Pursuant to clause 7 (Telehealth) , you will be covered for the provision of  <insert either  Teleradiology/Telepathology> services from <insert country where doctor is based> on behalf of <company> to patients based in < insert country where patient is based> for the period <date from> to <date to>*

*If your location or the patient's location changes you must seek confirmation that this endorsement will continue to apply.*

*This cover will be reviewed at each renewal of your Policy and will not be extended automatically.*

And I should be able to edit the wording for this Policy only

*Scenario 10:*

Given I go to the page Endorsements

When I go to the field Endorsement Type

And select an endorsement types= ‘*_Medical ARM Endorsement 2023/24’ or Other Endorsement WEF 1 July 2023’ or ‘Risk Surcharge ‘_*

Then there should be *No Standard wording - Notes field is blank by default*

And I should be able to add/edit the wording for this Policy only



 *Link for Endorsement Standard wording sheet:*

[Standard wording per Endorsement Type.xlsx|https://nationalmda.sharepoint.com/:x:/r/sites/ProjectConnect/Shared%20Documents/General/Planning%20Workshops/BRDs/Standard%20wording%20per%20Endorsement%20Type.xlsx?d=w3930f609130941a3b6f52f903584fb4b&csf=1&web=1&e=A8Uyvj]"
TCON-780,56475,Standard Policy Wording Endorsement -PIP,Rachel Thomas,5c77b20414346e2ff1dfe053,"As a Member Services Advisor, Underwriting user or Operations user

I want to be able to add or amend Standard Policy wording to a specific Policy or Renewal

And, where required, have this approved by another user or approve myself

To then continue with Policy processing

*Acceptance Criteria:*

*Scenario 1:*

Given I go to the page Endorsements

When I go to the field Endorsement Type

And select an endorsement type= ‘*_Practice Run Off Cover WEF 1 July 2023’_* with standard wording

Then the below wording populates in the Notes field

*The Policy responds to matters arising from healthcare services by you and an insured person provided between [insert retroactive date] and [insert business close date] subject to the terms and conditions of the Policy.*

And I should be able to edit the wording for this Policy only

*Scenario 2:*

Given I go to the page Endorsements.

When I go to the field Endorsement Type

And select an endorsement type= ‘*_Practice ARM Endorsement 2023/24' or ‘Other Endorsement WEF 1 July 2023’_*

Then there should be *No Standard wording - Notes field is blank by default*

And I should be able to add/edit the wording for this Policy only

 *_Please find link for Standard Endorsement wording:_*

[Standard wording per Endorsement Type.xlsx|https://nationalmda.sharepoint.com/:x:/r/sites/ProjectConnect/Shared%20Documents/General/Planning%20Workshops/BRDs/Standard%20wording%20per%20Endorsement%20Type.xlsx?d=w3930f609130941a3b6f52f903584fb4b&csf=1&web=1&e=g4U9Tr]"
TCON-494,56043,Retroactive Cover updates -  Verify Specialty and Practice Details page in Policy Workflow,Rachel Thomas,5c77b20414346e2ff1dfe053,"

This user story provides updates to the retroactive cover requirements under the Specialty and Practice Details page in Policy Workflow. These updates affect A/C scenarios 34 onwards on TCON-65  



+*_Specialty and Practice Details Page Details_*+

*Products:* Medical 

*Transactions:* New Business,



+Field Specifications+

Refer to ‘Specialty and Practice Details’ tab in [https://nationalmda.sharepoint.com/:x:/r/sites/ProjectConnect/_layouts/15/Doc.aspx?sourcedoc=%7B21DABA1B-350D-4CC2-8DD4-FDBDEF1D8219%7D&file=UI%20Pages%20BRD.xlsx&action=default&mobileredirect=true&DefaultItemOpen=1&ct=1707637191350&wdOrigin=OFFICECOM-WEB.MAIN.OTHER&cid=3a32c40f-cd0d-4fcc-996c-d9315dfca61a&wdPreviousSessionSrc=HarmonyWeb&wdPreviousSession=a708e50f-995b-4b57-930b-3235d1de4834|https://nationalmda.sharepoint.com/:x:/r/sites/ProjectConnect/_layouts/15/Doc.aspx?sourcedoc=%7B21DABA1B-350D-4CC2-8DD4-FDBDEF1D8219%7D&file=UI%20Pages%20BRD.xlsx&action=default&mobileredirect=true&DefaultItemOpen=1&ct=1707637191350&wdOrigin=OFFICECOM-WEB.MAIN.OTHER&cid=3a32c40f-cd0d-4fcc-996c-d9315dfca61a&wdPreviousSessionSrc=HarmonyWeb&wdPreviousSession=a708e50f-995b-4b57-930b-3235d1de4834|smart-link] 





+*_Acceptance Criteria_*+

+_Scenario 1_+

*Given* I go to the page “Specialty and Practice Details”.

*And* the Category is not Student

*Then* I should be prompted to enter the first date of medical practice



+_Scenario 2_+

*Given* I go to the page “Specialty and Practice Details”.

*And* the Category is ‘Student’

*Then* I should not be prompted to enter the first date of medical practice



+_Scenario 3_+

*Given* I go to the page “Specialty and Practice Details”.

*And* the Category is not ‘Student’ or 'Final Year Student/Intern'

*Then* I should be prompted to complete the ‘Nature of practice changed in past 5 years’ field 

*And* where the response is Yes

*Then* I should be prompted to complete the relevant prior practice details of Date From, Date To, Specialty, Category and GAB

*And* this should apply relevant pricing to each date range 



+_Scenario 4_+

*Given* I go to the page “Specialty and Practice Details”.

*And* I have completed one line of prior practice Date From, Date To, Specialty, Category and GAB

*Then* I should be able to enter additional prior practice lines



+_Scenario 5_+

*Given* I go to the page “Specialty and Practice Details”.

*And* the Category is not ‘Student’ or 'Final Year Student/Intern'

*Then* I should be prompted to complete the ‘Nature of practice changed in past 5 years’ field 

*And* where the response is No

*And* the Category is not [Employer Indemnified-no private billings], [Employer Indemnified-limited private billings] or any [Level] 

*Then* I should be able to progress to the next page



+_Scenario 6_+

*Given* I go to the page “Specialty and Practice Details”.

*And* the Category is not ‘Student’ or 'Final Year Student/Intern'

*Then* I should be prompted to complete the ‘Nature of practice changed in past 5 years’ field 

*And* where the response is No

*Then* where the Category is [Employer Indemnified-no private billings], [Employer Indemnified-limited private billings] or any [Level] 

*Then* I should be prompted to complete the ‘Prior private Obstetrics practice’ field

*And* where the response to ‘Prior private Obstetrics practice’ is  Yes

*Then* I should be required to complete Date From, Date To and Field of Practice 



+_Scenario 7_+

*Given* I go to the page “Specialty and Practice Details”.

*And* I have completed one line of ‘Prior private Obstetrics practice’ Date From, Date To and Field of Practice 

*Then* I should be able to enter additional ‘Prior private Obstetrics practice’ lines



+_Scenario 8_+

*Given* I go to the page “Specialty and Practice Details”.

*And* the Category is not ‘Student’ or 'Final Year Student/Intern'

*Then* I should be prompted to complete the ‘Nature of practice changed in past 5 years’ field 

*And* where the response is No

*Then* where the Category is [Employer Indemnified-no private billings], [Employer Indemnified-limited private billings] or any [Level] 

*Then* I should be prompted to complete the ‘Prior private Obstetrics practice’ field

*And* where the response is No

*Then* I should be able to progress to the next page



+_Scenario 9_+

*Given* I go to the page “Specialty and Practice Details”.

*And* the Unlimited Retro field is unticked

*Then* it should be mandatory for the Retroactive Date field to be filled

*And* the Retroactive Date should pre-populate with the date entered in ‘First Date of Medical Practice’



+_Scenario 10_+

*Given* I go to the page “Specialty and Practice Details”.

*And* there is a Retroactive Date completed

*Then* I should be able to amend the Retroactive Date if required. 



+_Scenario 11_+

*Given* I go to the page “Specialty and Practice Details”

*And* tick Unlimited Retro

*Then* the Retro Date field should be blank and not be a mandatory field



+_Scenario 12_+

*Given* I go to the page “Specialty and Practice Details”.

*And* the Category/Specialty  is ‘General Practice - Obstetrics, Level 6’ or 'Obstetrics and Gynaecology, Level 10’

*And I* tick Unlimited retro

*Then* a prompt should appear to advise this workflow is not possible for these Category/Specialty selections 

*And* then a retroactive date will become a mandatory field and will be based off my First Date of Medical Practice date"
TCON-711,56406,Specialty and Practice Details page - Convert mandatory fields from Toggle to Drop downs,Rachel Thomas,5c77b20414346e2ff1dfe053,
TCON-650,56321,Applicant info page: Previous/Prospective Member Number(MI_UI_07_1)- MI,Rachel Thomas,5c77b20414346e2ff1dfe053,"# '*Previous/Prospective Member Number*'- Should be displayed when Policy status is *_Quote or Application_*
# *‘Member Number*’ -Should be displayed when Policy status is Quote is  ‘*_In Force_*’

Requirement is a part of Applicant information page MI LOB."
TCON-789,56484,MI-Category dropdown list update- (Post Graduate Year),Rachel Thomas,5c77b20414346e2ff1dfe053,"MI- Specialty and Practice Details page (SP_UI_03):  Need to update Category list dropdown value i.e. PGY 2, 3, 4, 5 to below list:

Post Graduate Year 2
Post Graduate Year 3
Post Graduate Year 4
Post Graduate Year 5

Please find sheet link-[Cat_Spec_Mapping.xlsx|https://nationalmda.sharepoint.com/:x:/r/sites/ProjectConnect/Shared%20Documents/General/Planning%20Workshops/BRDs/Cat_Spec_Mapping.xlsx?d=w6e77b19f444d4fd1bf3e7c6f3a8a240d&csf=1&web=1&e=PgTAQ2]"
TCON-601,56238,Rating Table Creation - Medical Indemnity Rater,Raghvendra Likhite,712020:2893f22d-597c-4ef3-a87e-1f1b5b0d0d5d,Table  and structure Creation-This is a development story no testing efforts required
TCON-944,56782,"MI-Policy Term, Qualifications and Registration page name change",Rachel Thomas,5c77b20414346e2ff1dfe053,"In the continuation of User story TCON-875(Qualifications & Registration page) splitting the user story for handling below requirement.

# Page name should be revamped to *Policy Term, Qualifications and Registration* in the Interview workflow instead of *_Qualifications & Registration_* page."
